【Hero.csv】
ID,ScriptName,CNName,FirstName,SecondName,EnglishName,ClanID,CultureID,GenerateType,AppearanceID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,string,string,string,string,string,string,cultureID,string,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骑砍ID,剧本中文名,简体中文名,姓氏,名,罗马音名,家族ID,文化,生成类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派
lord_1_otomo_3,大友親家,大友亲家,大友,亲家,Otomo Chikaie,clan_otomo_1,saikai,精确匹配织丰,,1561,1575,1641,病死,大友宗麟,167,大友义鉴,811,大内义长 大友宗麟 大友亲盛 大友义统 大友义鉴,全职种,84,84,性急,勇敢,理想,轻率,不重情义,76,武具,贪心,嗜酒如命,藤原氏,刀剑,49,72,35,25,52,1,0,0,0,2,3,1,0,0,0,0,0,0,1,1,0,无,强袭，连续斩，拔突，刚弓，刚力，铁壁,无,无要求,,,未登场,大友亲家,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友亲家,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友亲家,部将,直臣,大友家,府内城,无,未登场,大友亲家,部将,直臣,大友家,府内城,无,已登场,大友亲家,部将,直臣,大友家,府内城,无,已登场,大友亲家,部将,直臣,大友家,府内城,无,已登场,大友亲家,部将,直臣,大友家,府内城,无,已登场,大友亲家,部将,直臣,立花家,柳川城,无,已登场,大友亲家,部将,陪臣（大友宗麟）,大久保家,佐贺城,无
lord_1_otomo_4,大友親盛,大友亲盛,大友,亲盛,Otomo Chikamori,clan_otomo_1,saikai,精确匹配织丰,,1567,1581,1643,病死,大友宗麟,167,大友义鉴,811,大内义长 大友宗麟 大友亲家 大友义统 大友义鉴,全职种,84,84,温和,胆小,普通,普通,普通,43,书籍,无欲,滴酒不沾,藤原氏,刀剑,39,43,62,51,61,0,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,无,强袭,无,无要求,,,未登场,大友亲盛,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友亲盛,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友亲盛,部将,直臣,大友家,府内城,无,未登场,大友亲盛,部将,直臣,大友家,府内城,无,未登场,大友亲盛,部将,直臣,大友家,府内城,无,已登场,大友亲盛,部将,直臣,大友家,府内城,无,已登场,大友亲盛,部将,直臣,大友家,府内城,无,已登场,大友亲盛,浪人,其他,无,小仓之町,无,已登场,大友亲盛,部将,陪臣（大友宗麟）,大久保家,佐贺城,无
lord_1_otomo_2,大友義統,大友义统,大友,义统,Otomo Yoshimune,clan_otomo_1,saikai,精确匹配织丰,,1558,1572,1610,病死,大友宗麟,167,大友义鉴,811,大内义长 大友宗麟 大友亲家 大友亲盛 大友义鉴,全职种,84,84,普通,胆小,普通,普通,普通,65,南蛮物,贪心,滴酒不沾,藤原氏,刀剑,42,32,41,30,63,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,无,强袭,无,一般条件,,,未登场,大友义统,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友义统,部将,陪臣（大友义镇）,大友家,府内城,无,未登场,大友义统,家老,直臣,大友家,府内城,无,未登场,大友义统,家老,直臣,大友家,府内城,无,已登场,大友义统,家老,直臣,大友家,府内城,无,已登场,大友义统,家老,直臣,大友家,府内城,无,已登场,大友义统,家老,直臣,大友家,府内城,无,已登场,大友义统,浪人,其他,无,府内之町,无,已登场,大友义统,部将,陪臣（大友宗麟）,大久保家,佐贺城,无
lord_1_oka_toshimasa,大野治長,大野治长,大野,治长,Oka Toshimasa,clan_oka_1,kinai,基于分组自动创建家族,,1569,1584,1615,战死,大野治长父,1349,,,大野治房,只限武将,20,20,性急,胆小,理想,轻率,普通,65,艺术品,贪心,嗜酒如命,其他,刀剑,29,28,57,59,35,0,0,1,0,0,0,0,0,2,1,2,0,3,1,4,0,无,强袭,风雅之士,一般条件,,,未登场,大野治长,浪人,其他,无,井之口之町,无,未登场,大野治长,足轻组头,直臣,织田家,清洲城,无,未登场,大野治长,足轻组头,直臣,织田家,清洲城,无,未登场,大野治长,足轻组头,直臣,织田家,岐阜城,无,未登场,大野治长,足轻组头,直臣,织田家,岐阜城,无,未登场,大野治长,足轻组头,陪臣（羽柴秀吉）,织田家,姬路城,无,已登场,大野治长,足轻组头,直臣,羽柴家,石山本愿寺,无,已登场,大野治长,部将,直臣,丰臣家,大坂城,无,已登场,大野治长,部将,直臣,大久保家,佐贺城,无
lord_1_omura,大村純忠,大村纯忠,大村,纯忠,Omura Sumitada,clan_omura_1,saikai,精确匹配织丰,,1533,1554,1587,病死,有马晴纯,822,,,有马晴信 有马义贞 有马晴纯,全职种,70,70,温和,普通,理想,普通,重视情义,16,南蛮物,贪心,滴酒不沾,藤原氏,刀剑,48,37,62,55,42,0,1,2,1,0,0,0,0,0,1,2,1,2,3,1,2,无,强袭,无,无要求,,,已登场,大村纯忠,城主,直臣,有马家,大村城,无,已登场,大村纯忠,城主,直臣,龙造寺家,大村城,无,已登场,大村纯忠,城主,直臣,龙造寺家,大村城,无,已登场,大村纯忠,城主,直臣,龙造寺家,大村城,无,已登场,大村纯忠,城主,直臣,龙造寺家,大村城,无,已登场,大村纯忠,城主,直臣,龙造寺家,大村城,无,已登场,大村纯忠,家老,直臣,龙造寺家,佐嘉城,无,已死亡,大村纯忠,无效,无效,无,无效,无,已登场,大村纯忠,部将,直臣,大久保家,佐贺城,无
lord_1_okamoto_zuiensai,小笠原長時,小笠原长时,小笠原,长时,Okamoto Zuiensai,clan_okamoto_1,hokuriku,基于分组自动创建家族,,1514,1554,1583,病死,,,,,,全职种,15,15,温和,胆小,现实,慎重,普通,67,艺术品,普通,普通,源氏,刀剑,24,31,41,29,53,0,0,1,0,0,0,1,0,0,0,0,2,3,0,1,1,无,强袭,无,无要求,,,已登场,小笠原长时,大名,首领,小笠原家,高远城,无,已登场,小笠原长时,足轻大将,直臣,长尾家,春日山城,无,已登场,小笠原长时,足轻大将,直臣,三好家,饭盛城,无,已登场,小笠原长时,足轻大将,直臣,上杉家,春日山城,无,已登场,小笠原长时,足轻大将,直臣,上杉家,春日山城,无,已登场,小笠原长时,足轻大将,直臣,上杉家,春日山城,无,已死亡,小笠原长时,无效,无效,无,无效,无,已死亡,小笠原长时,无效,无效,无,无效,无,已登场,小笠原长时,城主,直臣,小笠原家,名岛城,无
lord_1_okamoto_motonobu,小笠原少齋,小笠原少斋,小笠原,少斋,Okamoto Motonobu,clan_okamoto_1,hokuriku,基于分组自动创建家族,,1547,1561,1600,战死,,,,,,全职种,98,98,温和,普通,普通,慎重,重视情义,55,武具,无欲,普通,源氏,枪,51,62,34,51,65,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,无,拔突,无,无要求,,,未登场,小笠原秀清,浪人,其他,无,京之町,无,未登场,小笠原秀清,足轻组头,陪臣（细川藤孝）,足利家,朽木谷城,无,未登场,小笠原秀清,浪人,其他,无,京之町,无,已登场,小笠原秀清,足轻组头,陪臣（细川藤孝）,足利家,二条城,无,已登场,小笠原秀清,足轻组头,陪臣（细川藤孝）,织田家,岐阜城,无,已登场,小笠原秀清,足轻组头,陪臣（细川藤孝）,织田家,宫津城,无,已登场,小笠原秀清,足轻组头,陪臣（细川忠兴）,羽柴家,宫津城,无,已登场,小笠原少斋,侍大将,直臣,细川家,宫津城,无,已登场,小笠原少斋,大名,首领,小笠原家,小仓城,无
lord_1_okudaira_nobumasa,岡家利,冈家利,冈,家利,Okudaira Nobumasa,clan_okudaira_1,sanyo,基于分组自动创建家族,,1532,1554,1592,病死,,,,,,只限武将,15,15,温和,普通,普通,轻率,普通,24,书籍,普通,普通,其他,枪,63,52,66,67,65,2,2,1,1,1,3,1,0,3,4,1,0,1,0,1,0,土龙攻,强袭，连续斩，拔突，粘花，卷枪，引落，柄返，刚力，铁壁,无,无要求,,,已登场,冈家利,侍大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,冈家利,侍大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,冈家利,侍大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,冈家利,侍大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,冈家利,侍大将,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,冈家利,侍大将,直臣,宇喜多家,冈山城,无,已登场,冈家利,部将,直臣,宇喜多家,冈山城,无,已死亡,冈家利,无效,无效,无,无效,无,已登场,冈家利,浪人,其他,无,冈崎之町,无
spc_suruga_shu_leader_1,岡部貞綱,冈部贞纲,冈部,贞纲,,,tokai,精确匹配织丰,,1526,1554,1575,战死,,,,,,全职种,86,86,普通,勇敢,理想,轻率,普通,50,南蛮物,贪心,嗜酒如命,源氏,刀剑,67,66,21,43,59,2,1,2,3,1,2,1,2,1,0,0,0,1,0,0,1,水上禁行,强袭，拔突，二连苦无，铁壁,无,无要求,,,已登场,冈部贞纲,头领,首领,骏河水军,清水之砦,无,已登场,冈部贞纲,头领,首领,骏河水军,清水之砦,无,已登场,冈部贞纲,头领,首领,骏河水军,清水之砦,无,已登场,冈部贞纲,头领,首领,骏河水军,清水之砦,无,已登场,冈部贞纲,头领,首领,骏河水军,清水之砦,无,已死亡,冈部贞纲,无效,无效,无,无效,无,已死亡,冈部贞纲,无效,无效,无,无效,无,已死亡,冈部贞纲,无效,无效,无,无效,无,已登场,冈部贞纲,浪人,其他,无,冈崎之町,无
lord_1_okabe_6,岡部正綱,冈部正纲,冈部,正纲,Okabe Masatsuna,clan_okabe_1,tokai,精确匹配织丰,,1542,1556,1583,病死,冈部久纲,1342,,,冈部元信,全职种,70,45,温和,普通,普通,轻率,普通,43,艺术品,无欲,嗜酒如命,藤原氏,刀剑,67,67,54,48,63,3,2,1,0,1,1,2,0,0,0,0,0,0,0,1,0,无,强袭,无,无要求,,,未登场,冈部正纲,部将,直臣,今川家,骏府城,无,未登场,冈部正纲,部将,直臣,今川家,骏府城,无,已登场,冈部正纲,部将,直臣,今川家,骏府城,无,已登场,冈部正纲,部将,直臣,今川家,曳马城,无,已登场,冈部正纲,部将,直臣,武田家,踯躅崎馆,无,已登场,冈部正纲,部将,直臣,武田家,甲府城,无,已死亡,冈部正纲,无效,无效,无,无效,无,已死亡,冈部正纲,无效,无效,无,无效,无,已登场,冈部正纲,浪人,其他,无,冈崎之町,无
lord_1_okabe,岡部元信,冈部元信,冈部,元信,Okabe Motonobu,clan_okabe_1,tokai,精确匹配织丰,,1543,1557,1581,战死,冈部久纲,1342,,,冈部正纲,只限武将,45,45,性急,勇敢,普通,轻率,重视情义,31,武具,无欲,嗜酒如命,藤原氏,刀剑,70,68,35,52,66,2,2,1,0,1,1,3,0,2,0,0,0,0,1,0,0,无,强袭,无,无要求,,,未登场,冈部元信,部将,直臣,今川家,骏府城,无,未登场,冈部元信,部将,直臣,今川家,骏府城,无,已登场,冈部元信,部将,直臣,今川家,骏府城,无,已登场,冈部元信,部将,直臣,今川家,曳马城,无,已登场,冈部元信,部将,直臣,武田家,踯躅崎馆,无,已死亡,冈部元信,无效,无效,无,无效,无,已死亡,冈部元信,无效,无效,无,无效,无,已死亡,冈部元信,无效,无效,无,无效,无,已登场,冈部元信,浪人,其他,无,冈崎之町,无
lord_1_okumura_eifuku,岡本随緣齋,冈本随缘斋,冈本,随缘斋,Okumura Eifuku,clan_okumura_1,kanto,基于分组自动创建家族,,1520,1554,1592,病死,,,,,,全职种,33,33,性急,勇敢,普通,轻率,普通,36,艺术品,贪心,嗜酒如命,其他,刀剑,62,65,46,32,61,2,1,2,4,1,2,1,1,2,0,0,1,0,0,0,2,水上拖延，进水,强袭，拔突，铁壁,无,一般条件,,,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已登场,冈本随缘斋,头领,首领,房总水军,冈本之砦,无,已死亡,冈本随缘斋,无效,无效,无,无效,无,已登场,冈本随缘斋,浪人,其他,无,冈崎之町,无
lord_1_okumura_tsunanao,岡本禪哲,冈本禅哲,冈本,禅哲,Okumura Tsunanao,clan_okumura_1,kanto,基于分组自动创建家族,,1519,1554,1583,病死,,,,,,全职种,20,20,普通,普通,现实,慎重,重视情义,21,书籍,无欲,普通,藤原氏,刀剑,9,8,68,70,49,0,0,0,0,0,0,0,0,1,1,1,1,3,3,2,3,无,强袭，伤药,无,一般条件,,,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已登场,冈本禅哲,部将,直臣,佐竹家,太田城,无,已死亡,冈本禅哲,无效,无效,无,无效,无,已死亡,冈本禅哲,无效,无效,无,无效,无,已登场,冈本禅哲,浪人,其他,无,冈崎之町,无
lord_1_okumura_kagemichi,岡本賴氏,冈本赖氏,冈本,赖氏,Okumura Kagemichi,clan_okumura_1,kanto,基于分组自动创建家族,,1537,1554,1606,病死,,,,,,只限武将,20,20,性急,勇敢,普通,轻率,普通,56,武具,普通,普通,其他,枪,70,62,22,27,53,1,2,2,0,1,4,1,0,0,0,0,0,2,0,0,0,无,强袭，连续斩，拔突，粘花，卷枪，引落，当身，柄返，刚力，铁壁,枪术名人,无要求,,,未登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,足轻组头,直臣,相良家,人吉城,无,已登场,冈本赖氏,部将,直臣,相良家,人吉城,无,已登场,冈本赖氏,部将,直臣,相良家,人吉城,无,已登场,冈本赖氏,浪人,其他,无,冈崎之町,无
lord_1_okudaira_kagetaka,岡吉正,冈吉正,冈,吉正,Okudaira Kagetaka,clan_okudaira_1,sanyo,基于分组自动创建家族,,1546,1560,1585,病死,,,,,,全职种,41,41,普通,勇敢,普通,轻率,普通,60,南蛮物,普通,普通,其他,火绳枪,58,54,60,59,52,1,1,4,2,1,1,1,2,0,0,0,0,0,0,0,1,狙击,二连苦无，急所击，二挺击，石火，乱射,火枪名人,无要求,,,未登场,冈吉正,足轻组头,陪臣（铃木佐太夫）,本愿寺,杂贺城,无,未登场,冈吉正,足轻组头,陪臣（铃木佐太夫）,本愿寺,杂贺城,无,已登场,冈吉正,足轻组头,陪臣（铃木佐太夫）,本愿寺,杂贺城,无,已登场,冈吉正,足轻组头,陪臣（铃木佐太夫）,本愿寺,杂贺城,无,已登场,冈吉正,足轻组头,陪臣（铃木佐太夫）,本愿寺,杂贺城,无,已登场,冈吉正,足轻组头,直臣,铃木家,杂贺城,无,已登场,冈吉正,足轻组头,直臣,铃木家,杂贺城,无,已死亡,冈吉正,无效,无效,无,无效,无,已登场,冈吉正,浪人,其他,无,冈崎之町,无
lord_1_iii_toramasa,奥平信昌,奥平信昌,奥平,信昌,Iii Toramasa,clan_iii_1,kanto,基于分组自动创建家族,,1555,1569,1615,病死,,,,,,全职种,76,76,温和,普通,普通,轻率,不重情义,57,武具,贪心,普通,源氏,刀剑,46,42,58,53,46,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,无,强袭,无,无要求,,,未登场,奥平信昌,侍大将,直臣,松平家,冈崎城,无,未登场,奥平信昌,部将,陪臣（松平元康）,今川家,骏府城,无,未登场,奥平信昌,足轻组头,陪臣（松平元康）,今川家,冈崎城,无,已登场,奥平信昌,城主,直臣,德川家,长篠城,无,已登场,奥平信昌,城主,直臣,德川家,长篠城,无,已登场,奥平信昌,城主,直臣,德川家,长篠城,无,已登场,奥平信昌,城主,直臣,德川家,长篠城,无,已登场,奥平信昌,家老,直臣,德川家,江户城,无,已登场,奥平信昌,浪人,其他,无,平户之町,无
lord_1_kaibara_tsunachika,奧村永福,奥村永福,奥村,永福,Kaibara Tsunachika,clan_kaibara_1,kinai,基于分组自动创建家族,,1542,1556,1624,病死,,,,,,全职种,99,99,温和,普通,普通,慎重,重视情义,55,武具,无欲,普通,其他,枪,61,56,55,53,52,2,2,1,1,2,2,0,2,1,2,1,1,2,1,1,0,无,强袭，拔突，二连苦无，刚弓，铁壁,无,无要求,,,未登场,奥村永福,足轻组头,陪臣（前田利家）,织田家,那古野城,无,未登场,奥村永福,足轻组头,陪臣（前田利家）,织田家,清洲城,无,已登场,奥村永福,足轻组头,陪臣（前田利家）,织田家,清洲城,无,已登场,奥村永福,足轻组头,陪臣（前田利家）,织田家,岐阜城,无,已登场,奥村永福,足轻组头,陪臣（前田利家）,织田家,岐阜城,无,已登场,奥村永福,足轻大将,陪臣（前田利家）,织田家,七尾城,无,已登场,奥村永福,足轻大将,直臣,前田家,尾山城,无,已登场,奥村永福,家老,直臣,前田家,金泽城,无,已登场,奥村永福,浪人,其他,无,仓敷之町,无
lord_1_osafune_sadachika,長船貞親,长船贞亲,长船,贞亲,Osafune Sadachika,clan_osafune_1,sanyo,基于分组自动创建家族,,1530,1554,1588,战死,,,,,长船纲直,只限武将,19,19,普通,勇敢,普通,普通,普通,49,武具,普通,嗜酒如命,其他,刀剑,62,46,39,36,43,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,无,强袭,无,无要求,,,已登场,长船贞亲,足轻大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,长船贞亲,足轻大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,长船贞亲,足轻大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,长船贞亲,足轻大将,陪臣（宇喜多直家）,浦上家,天神山城,无,已登场,长船贞亲,足轻大将,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,长船贞亲,侍大将,直臣,宇喜多家,冈山城,无,已登场,长船贞亲,家老,直臣,宇喜多家,冈山城,无,已死亡,长船贞亲,无效,无效,无,无效,无,已登场,长船贞亲,浪人,其他,无,长船之町,无
lord_1_osafune_mitsunari,長船綱直,长船纲直,长船,纲直,Osafune Mitsunari,clan_osafune_1,sanyo,基于分组自动创建家族,,1559,1573,1598,战死,长船贞亲,185,,,长船贞亲,全职种,19,19,普通,普通,普通,慎重,普通,45,南蛮物,无欲,普通,其他,刀剑,39,37,72,68,42,1,0,1,0,0,0,0,0,4,3,3,0,2,2,1,3,紧急修补,强袭，伤药,无,无要求,,,未登场,长船纲直,足轻组头,陪臣（长船贞亲）,浦上家,天神山城,无,未登场,长船纲直,足轻组头,陪臣（长船贞亲）,浦上家,天神山城,无,未登场,长船纲直,足轻组头,陪臣（长船贞亲）,浦上家,天神山城,无,未登场,长船纲直,足轻组头,陪臣（长船贞亲）,浦上家,天神山城,无,已登场,长船纲直,足轻组头,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,长船纲直,足轻组头,陪臣（长船贞亲）,宇喜多家,冈山城,无,已登场,长船纲直,部将,陪臣（长船贞亲）,宇喜多家,冈山城,无,已登场,长船纲直,家老,直臣,宇喜多家,冈山城,无,已登场,长船纲直,浪人,其他,无,长船之町,无
lord_1_kakei_juuzou,小瀨甫庵,小濑甫庵,小濑,甫庵,Kakei Juuzou,clan_kakei_1,neutral_culture,基于分组自动创建家族,,1564,1578,1640,病死,,,,,,全职种,50,50,普通,普通,理想,轻率,普通,64,书籍,贪心,普通,源氏,枪,23,29,58,61,72,0,0,0,0,0,0,1,0,4,1,0,2,3,3,1,4,紧急修补,拔突，伤药，止血,无,一般条件,,,未登场,小濑甫庵,浪人,其他,无,井之口之町,无,未登场,小濑甫庵,浪人,其他,无,井之口之町,无,未登场,小濑甫庵,浪人,其他,无,井之口之町,无,未登场,小濑甫庵,浪人,其他,无,岐阜之町,无,未登场,小濑甫庵,浪人,其他,无,岐阜之町,无,已登场,小濑甫庵,浪人,其他,无,岐阜之町,无,已登场,小濑甫庵,足轻组头,陪臣（羽柴秀次）,羽柴家,石山本愿寺,无,已登场,小濑甫庵,侍大将,直臣,堀尾家,滨松城,无,已登场,小濑甫庵,家老,直臣,小笠原家,小仓城,无
lord_2_oda,小田氏治,小田氏治,小田,氏治,Oda Ujiharu,clan_oda_2,kanto,精确匹配织丰,,1531,1554,1601,病死,,,,,,全职种,70,70,性急,胆小,理想,普通,不重情义,89,艺术品,贪心,普通,藤原氏,刀剑,44,41,53,50,36,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,无,强袭,无,无要求,,,已登场,小田氏治,大名,首领,小田家,小田城,无,已登场,小田氏治,大名,首领,小田家,土浦城,无,已登场,小田氏治,大名,首领,小田家,土浦城,无,已登场,小田氏治,大名,首领,小田家,土浦城,无,已登场,小田氏治,家老,直臣,北条家,小田原城,无,已登场,小田氏治,家老,直臣,北条家,小田原城,无,已登场,小田氏治,大名,首领,小田家,土浦城,无,已登场,小田氏治,足轻大将,直臣,结城家,结城城,无,已登场,小田氏治,部将,直臣,小笠原家,小仓城,无
lord_1_oda_kiyoeimon,織田有樂,织田有乐,织田,有乐,Oda Kiyoeimon,clan_oda_1,kinai,家族和文化自动推断,,1547,1561,1621,病死,织田信秀,803,织田信定,###,织田信胜 织田信雄 织田信包 织田信孝 织田信忠 织田信长 津田信澄 织田信秀 织田信光,全职种,0,0,温和,胆小,现实,轻率,普通,39,艺术品,普通,普通,平氏,枪,48,19,50,46,41,2,2,1,0,0,1,0,0,0,0,1,1,3,1,4,2,无,拔突,风雅之士,一般条件,,,未登场,织田长益,足轻组头,直臣,织田家,那古野城,无,未登场,织田长益,足轻组头,直臣,织田家,清洲城,无,未登场,织田长益,足轻组头,直臣,织田家,清洲城,无,已登场,织田长益,足轻组头,直臣,织田家,岐阜城,无,已登场,织田长益,足轻组头,直臣,织田家,岐阜城,无,已登场,织田长益,足轻组头,直臣,织田家,安土城,无,已登场,织田有乐,足轻大将,直臣,织田家,长岛城,无,已登场,织田有乐,城主,直臣,丰臣家,信贵山城,无,已登场,织田有乐,浪人,其他,无,小田原之町,无
lord_1_oda_yuuemon,織田信勝,织田信胜,织田,信胜,Oda Yuuemon,clan_oda_1,kinai,家族和文化自动推断,,1537,1554,1557,战死,织田信秀,803,织田信定,###,织田有乐 织田信雄 织田信包 织田信孝 织田信忠 织田信长 津田信澄 织田信秀 织田信光,全职种,40,40,性急,胆小,理想,轻率,不重情义,88,武具,贪心,普通,平氏,刀剑,65,51,59,72,82,1,1,0,0,2,1,1,0,0,1,1,1,1,1,1,0,无,强袭，刚弓,无,不可,,主角织田信长，信胜谋反,已登场,织田信胜,部将,直臣,织田家,那古野城,无,已登场,织田信胜,城主,直臣,织田家,那古野城,无,已死亡,织田信胜,无效,无效,无,无效,无,已死亡,织田信胜,无效,无效,无,无效,无,已死亡,织田信胜,无效,无效,无,无效,无,已死亡,织田信胜,无效,无效,无,无效,无,已死亡,织田信胜,无效,无效,无,无效,无,已死亡,织田信胜,无效,无效,无,无效,无,已登场,织田信胜,浪人,其他,无,小田原之町,无
lord_1_oda_5,織田信雄,织田信雄,织田,信雄,Oda Nobukatsu,clan_oda_1,kinai,精确匹配织丰,,1558,1572,1630,病死,织田信长,195,织田信秀,803,织田有乐 织田信胜 织田信包 织田信孝 织田信忠 织田信长 织田秀信 津田信澄 织田信秀,只限武将,25,25,性急,胆小,现实,轻率,不重情义,62,艺术品,贪心,嗜酒如命,平氏,刀剑,31,34,32,24,36,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,0,无,强袭,无,一般条件,,,未登场,织田信雄,部将,陪臣（织田信长）,织田家,那古野城,无,未登场,织田信雄,部将,陪臣（织田信长）,织田家,清洲城,无,未登场,织田信雄,部将,直臣,织田家,清洲城,无,未登场,织田信雄,部将,直臣,织田家,岐阜城,无,已登场,织田信雄,城主,直臣,织田家,大河内城,无,已登场,织田信雄,国主,直臣,织田家,安浓津城,无,已登场,织田信雄,大名,首领,织田家,长岛城,无,已登场,织田信雄,城主,直臣,德川家,一乘谷城,无,已登场,织田信雄,浪人,其他,无,小田原之町,无
lord_1_oda_8,織田信包,织田信包,织田,信包,Oda Nobukane,clan_oda_1,kinai,精确匹配织丰,,1543,1554,1614,病死,织田信秀,803,织田信定,###,织田有乐 织田信胜 织田信雄 织田信孝 织田信忠 织田信长 津田信澄 织田信秀 织田信光,全职种,0,0,温和,普通,普通,慎重,普通,34,艺术品,贪心,普通,平氏,刀剑,41,45,32,55,50,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,无,强袭,无,无要求,,,未登场,织田信包,侍大将,直臣,织田家,那古野城,无,已登场,织田信包,侍大将,直臣,织田家,清洲城,无,已登场,织田信包,侍大将,直臣,织田家,清洲城,无,已登场,织田信包,侍大将,直臣,织田家,岐阜城,无,已登场,织田信包,侍大将,直臣,织田家,岐阜城,无,已登场,织田信包,侍大将,直臣,织田家,安土城,无,已登场,织田信包,部将,直臣,羽柴家,石山本愿寺,无,已登场,织田信包,城主,直臣,丰臣家,八上城,无,已登场,织田信包,浪人,其他,无,小田原之町,无
lord_1_oda_6,織田信孝,织田信孝,织田,信孝,Oda Nobutaka,clan_oda_1,kinai,精确匹配织丰,,1558,1572,1583,战死,织田信长,195,织田信秀,803,织田有乐 织田信胜 织田信雄 织田信包 织田信忠 织田信长 织田秀信 津田信澄 织田信秀,只限武将,85,85,性急,勇敢,理想,轻率,普通,82,武具,贪心,嗜酒如命,平氏,刀剑,64,58,42,12,44,2,2,1,1,0,1,1,0,1,0,0,0,1,0,1,0,无,强袭,无,一般条件,,,未登场,织田信孝,部将,陪臣（织田信长）,织田家,那古野城,无,未登场,织田信孝,部将,陪臣（织田信长）,织田家,清洲城,无,未登场,织田信孝,部将,直臣,织田家,清洲城,无,未登场,织田信孝,部将,直臣,织田家,岐阜城,无,已登场,织田信孝,城主,直臣,织田家,安浓津城,无,已登场,织田信孝,家老,直臣,织田家,安土城,无,已死亡,织田信孝,无效,无效,无,无效,无,已死亡,织田信孝,无效,无效,无,无效,无,已登场,织田信孝,浪人,其他,无,小田原之町,无
